Country;Indicator;Nombres de medidas;Year;Valores de medidas
Benin;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Bermuda;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,282534301
Bermuda;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;90,952377319
Bermuda;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,162025094
Bermuda;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Bhutan;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,239692003
Bhutan;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;88,571426392
Bhutan;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,104605198
Bhutan;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Bolivia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,219555780
Bolivia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;38,095237732
Bolivia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,242841065
Bolivia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Bosnia and Herzegovina;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,223530918
Bosnia and Herzegovina;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;30,952381134
Bosnia and Herzegovina;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,392324209
Bosnia and Herzegovina;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Botswana;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220183909
Botswana;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;83,333335876
Botswana;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,979156196
Botswana;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Brazil;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Brazil;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;31,904762268
Brazil;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,357017606
Brazil;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Brunei Darussalam;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220985532
Brunei Darussalam;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;91,904762268
Brunei Darussalam;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,201149106
Brunei Darussalam;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Bulgaria;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Bulgaria;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;60,476188660
Bulgaria;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,419638634
Bulgaria;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Burkina Faso;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,219555780
Burkina Faso;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;13,333333015
Burkina Faso;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,040907264
Burkina Faso;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Burundi;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,229383603
Burundi;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;7,619047642
Burundi;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,597951055
Burundi;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Cambodia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,223530918
Cambodia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;51,428569794
Cambodia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,108229026
Cambodia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Cameroon;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Cameroon;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;8,571428299
Cameroon;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,375979543
Cameroon;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Canada;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Canada;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;84,761901855
Canada;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,991188586
Canada;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Cape Verde;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,234749258
Cape Verde;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;71,904762268
Cape Verde;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,747233689
Cape Verde;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;5
Cayman Islands;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,283130497
Cayman Islands;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;90
Cayman Islands;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,149284840
Cayman Islands;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Central African Republic;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,233988479
Central African Republic;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;2,857142925
Central African Republic;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-2,281260967
Central African Republic;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;5
Chad;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,229383603
Chad;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;8,095237732
Chad;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,478994727
Chad;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Chile;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Chile;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;61,428569794
Chile;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,425245881
Chile;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
China;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
China;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;36,666667938
China;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,261062086
China;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Colombia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Colombia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;17,619047165
Colombia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,813388526
Colombia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Comoros;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,256291330
Comoros;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;39,047618866
Comoros;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,203264654
Comoros;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Congo, Dem. Rep.;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225771025
Congo, Dem. Rep.;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;4,761904716
Congo, Dem. Rep.;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-2,116204500
Congo, Dem. Rep.;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Congo, Rep.;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Congo, Rep.;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;29,523809433
Congo, Rep.;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,442818105
Congo, Rep.;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Cook Islands;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;
Cook Islands;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;
Cook Islands;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;
Cook Islands;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;
Costa Rica;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Costa Rica;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;62,380950928
Costa Rica;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,486434460
Costa Rica;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Côte d'Ivoire;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,219555780
Côte d'Ivoire;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;15,714285851
Côte d'Ivoire;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,931182325
Côte d'Ivoire;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Croatia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Croatia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;73,809524536
Croatia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,768877566
Croatia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Cuba;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Cuba;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;67,619049072
Cuba;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,652334213
Cuba;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Cyprus;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,216191754
Cyprus;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;64,761901855
Cyprus;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,543319046
Cyprus;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Czech Republic;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Czech Republic;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;87,142860413
Czech Republic;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,040143490
Czech Republic;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Denmark;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Denmark;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;82,380950928
Denmark;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,959066808
Denmark;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Djibouti;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,239692003
Djibouti;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;41,428569794
Djibouti;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,134122878
Djibouti;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Dominica;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,255043179
Dominica;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;89,047622681
Dominica;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,107934833
Dominica;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Dominican Republic;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Dominican Republic;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;47,619049072
Dominican Republic;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,034793321
Dominican Republic;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Ecuador;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Ecuador;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;43,333332062
Ecuador;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,074749783
Ecuador;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Egypt, Arab Rep.;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Egypt, Arab Rep.;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;11,904762268
Egypt, Arab Rep.;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,164930940
Egypt, Arab Rep.;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
El Salvador;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
El Salvador;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;33,333332062
El Salvador;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,334850758
El Salvador;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Equatorial Guinea;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,239692003
Equatorial Guinea;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;43,809524536
Equatorial Guinea;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,051122174
Equatorial Guinea;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Eritrea;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,233988479
Eritrea;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;24,761905670
Eritrea;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,605156243
Eritrea;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;5
Estonia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Estonia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;66,190475464
Estonia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,599966824
Estonia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Ethiopia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Ethiopia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;9,523809433
Ethiopia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-1,343245745
Ethiopia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Fiji;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,263841808
Fiji;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;70,952377319
Fiji;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,742554724
Fiji;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;3
Finland;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Finland;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;81,904762268
Finland;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,924920201
Finland;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
France;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
France;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;51,904762268
France;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,109134838
France;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
French Guiana;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,253446341
French Guiana;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;63,809524536
French Guiana;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,530410707
French Guiana;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;3
Gabon;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Gabon;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;37,619049072
Gabon;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,247599706
Gabon;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Gambia, The;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225771025
Gambia, The;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;44,761905670
Gambia, The;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,029553143
Gambia, The;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Georgia;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,223530918
Georgia;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;30
Georgia;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,426487833
Georgia;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;7
Germany;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Germany;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;66,666664124
Germany;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,604895115
Germany;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Ghana;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Ghana;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;47,142856598
Ghana;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,029897138
Ghana;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Greece;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,211271018
Greece;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;50
Greece;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,092585683
Greece;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;9
Greenland;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,375186086
Greenland;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;100
Greenland;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;1,939218521
Greenland;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Grenada;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,255043179
Grenada;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;85,238098145
Grenada;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,997630060
Grenada;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Guam;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,282534301
Guam;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;67,142860413
Guam;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;0,633417130
Guam;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;2
Guatemala;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,215738133
Guatemala;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;27,142856598
Guatemala;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,541352987
Guatemala;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;8
Guinea;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,225093991
Guinea;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;16,666666031
Guinea;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,876667380
Guinea;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Guinea-Bissau;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,251281708
Guinea-Bissau;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;21,904762268
Guinea-Bissau;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,669753194
Guinea-Bissau;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;4
Guyana;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,224246994
Guyana;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;40,952381134
Guyana;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,175065801
Guyana;Political Stability and Absence of Violence/Terrorism;Number of Sources;2018;6
Haiti;Political Stability and Absence of Violence/Terrorism;Standard Error;2018;0,220985532
Haiti;Political Stability and Absence of Violence/Terrorism;Percentile Rank;2018;23,333333969
Haiti;Political Stability and Absence of Violence/Terrorism;Governance (-2.5 to +2.5);2018;-0,626814425
